Name,private,apps,accept,enroll,full_time,part_time,outstate,room_board,books,personal,prof_phd,prof_terminal,std_by_prof,perc_alumni,grad_rate
Lafayette College,Yes,4010,2402,572,2018,226,18730,5740,600,1000,93,96,10.5,38,92
LaGrange College,Yes,544,399,177,600,363,6987,3585,750,1500,77,83,12.5,12,75
Lake Forest College,Yes,979,638,271,968,20,16880,3970,920,1320,91,94,10.7,19,77
Lakeland College,Yes,497,452,231,887,1957,9400,4005,500,1000,49,65,17.2,25,57
Lamar University,No,2336,1725,1043,5438,4058,4752,3040,508,1463,48,82,18.4,12,26
Lambuth University,Yes,831,538,224,840,325,5170,3430,600,1590,61,61,16.1,10,60
Lander University,No,1166,1009,510,2074,341,4938,2987,528,1702,67,77,17,11,51
Lawrence University,Yes,1243,947,324,1129,74,17163,3891,525,975,76,92,10.1,57,77
Le Moyne College,Yes,1470,1199,425,1820,558,11040,4840,400,900,89,92,13.3,28,94
Lebanon Valley College,Yes,1386,1060,320,965,502,13850,4755,400,1125,84,84,12.3,30,85
Lehigh University,Yes,6397,4304,1092,4298,132,18700,5580,750,1130,96,99,12.5,43,91
Lenoir-Rhyne College,Yes,979,743,259,1188,166,10100,4000,400,1000,88,92,12,20,66
Lesley College,Yes,244,198,82,1134,336,11700,5300,550,805,71,88,27.8,18,58
LeTourneau University,Yes,477,417,204,1532,77,8840,4240,600,1400,58,70,20.8,23,56
Lewis and Clark College,Yes,2774,2092,482,1763,59,15800,4790,450,950,97,98,12.3,21,69
Lewis University,Yes,1154,1050,395,2192,1423,10560,4520,500,1200,36,48,14.3,10,61
Lincoln Memorial University,Yes,787,562,363,925,605,5950,2890,600,1300,67,72,14.6,35,53
Lincoln University,No,1660,1091,326,1196,33,4818,3400,350,1400,71,72,12.6,8,45
Lindenwood College,Yes,810,484,356,2155,191,9200,4800,1000,4200,65,85,24.1,9,100
Linfield College,Yes,1561,1188,458,1548,840,13380,4210,500,900,89,91,17.8,34,81
Livingstone College,Yes,900,473,217,621,11,4400,3400,800,900,53,93,10.4,16,92
Lock Haven University of Pennsylvania,No,3570,2215,651,3390,325,7352,3620,225,500,47,55,16.1,14,63
Longwood College,No,2747,1870,724,2874,118,7920,3962,550,2200,74,80,18.4,23,62
Loras College,Yes,1641,1283,527,1663,170,11200,4000,500,1200,61,62,14.2,24,70
Louisiana College,Yes,2013,1053,212,912,158,5150,3036,500,1655,64,74,10.5,11,59
Louisiana State University at Baton Rouge,No,5996,4993,3079,16269,3757,5925,2980,600,2242,83,87,15.9,11,37
Louisiana Tech University,No,2397,2144,1525,6720,1822,3957,2325,618,1656,66,77,20,13,45
Loyola College,Yes,4076,3137,738,3010,184,12990,6300,600,900,86,88,14.7,27,80
Loyola Marymount University,Yes,3768,2662,753,3558,436,13592,5916,545,1328,84,88,14.2,10,84
Loyola University,Yes,1891,1698,719,2740,761,11100,5870,600,750,77,88,11.7,14,53
Loyola University Chicago,Yes,3579,2959,868,5244,3417,11500,5330,700,2000,94,95,6.2,15,65
Luther College,Yes,1549,1392,587,2269,85,13240,3560,600,400,73,85,13.8,38,77
Lycoming College,Yes,1286,1005,363,1363,74,13900,4300,500,900,75,81,14,32,72
Lynchburg College,Yes,1756,1500,366,1524,280,12450,5400,450,870,62,66,12.4,24,70
Lyndon State College,No,535,502,223,959,150,7320,4640,500,600,48,65,12.6,15,51
Macalester College,Yes,2939,1496,452,1723,113,15909,4772,500,700,85,91,11.9,37,77
MacMurray College,Yes,740,558,177,628,63,9620,3750,550,950,49,55,10.8,33,59
Malone College,Yes,874,758,428,1605,246,9858,3700,450,1200,42,45,17.6,16,55
Manchester College,Yes,1004,802,239,909,51,10440,3850,525,1450,63,72,11.8,20,64
Manhattan College,Yes,2432,1730,563,2578,254,12370,6800,500,1800,92,92,13.6,25,79
Manhattanville College,Yes,962,750,212,830,150,14700,6550,450,400,97,97,11.3,24,70
Mankato State University,No,3073,2672,1547,9649,1792,4300,2643,450,1660,57,68,19,11,68
Marian College of Fond du Lac,Yes,824,670,337,1160,653,9400,3400,500,1100,37,37,8.4,21,59
Marietta College,Yes,1611,960,342,1089,210,13850,3920,470,810,80,97,13.2,30,96
Marist College,Yes,4731,3171,830,3557,658,10700,5925,550,1200,74,81,17.6,34,69
Marquette University,Yes,5152,4600,1685,7016,804,11610,4760,600,1950,86,94,13.5,25,77
Marshall University,Yes,4226,3666,2007,7703,2339,5094,4010,700,1560,77,86,16.6,10,50
Mary Baldwin College,Yes,499,441,199,846,377,11200,7400,600,1300,66,79,6.8,50,90
Mary Washington College,No,4350,2178,756,2997,736,6490,4942,650,2102,75,80,17.6,30,84
Marymount College Tarrytown,Yes,478,327,117,731,370,11510,6450,575,1075,71,93,10.3,30,77
Marymount Manhattan College,Yes,695,535,239,988,785,10200,7000,350,1100,63,76,11.7,20,68
Marymount University,Yes,941,772,214,1247,776,11390,5280,500,750,77,82,10.6,17,55
Maryville College,Yes,1464,888,176,624,128,11200,4208,500,1642,80,90,11.1,43,51
Maryville University,Yes,549,397,169,1343,1751,9250,4550,425,1350,52,58,13.1,13,61
Marywood College,Yes,1107,859,323,1452,402,11040,4500,600,700,65,76,11.8,30,66
Massachusetts Institute of Technology,Yes,6411,2140,1078,4481,28,20100,5975,725,1600,99,99,10.1,35,94
Mayville State University,No,233,233,153,658,58,4486,2516,600,1900,68,68,15.7,11,51
McKendree College,Yes,1002,555,119,836,684,7680,3740,500,800,70,74,17.7,21,52
McMurry University,Yes,578,411,187,880,477,6930,3452,400,1525,57,64,11,11,32
McPherson College,Yes,420,293,93,336,80,7950,3750,600,2740,54,54,9.8,45,48
Mercer University,Yes,2286,1668,564,2943,1260,11985,4081,400,1500,93,95,9.2,15,91
Mercyhurst College,Yes,1557,1074,397,1805,433,9813,4050,425,1000,45,63,16.7,29,78
Meredith College,Yes,857,772,376,1721,470,6720,3250,450,1520,77,82,13.9,33,82
Merrimack College,Yes,1981,1541,514,1927,1084,12500,6200,375,1000,73,75,16.8,22,80
Mesa State College,No,1584,1456,891,3471,911,5016,3798,540,2256,48,48,28.8,12,59
Messiah College,Yes,1742,1382,607,2258,53,10300,5080,475,1200,68,75,14.1,30,89
Miami University at Oxford,No,9239,7788,3290,13606,807,8856,3960,500,1382,81,89,17.6,20,85
Michigan State University,No,18114,15096,6180,26640,4120,10658,3734,504,600,93,95,14,9,71
Michigan Technological University,No,2618,2288,1032,5524,414,8127,3978,900,1200,82,82,17,25,65
MidAmerica Nazarene College,Yes,331,331,225,1100,166,6840,3720,1100,4913,33,33,15.4,20,49
Millersville University of Penn.,No,6011,3075,960,5146,1532,7844,3830,450,1258,72,74,16.8,20,71
Milligan College,Yes,610,461,189,685,49,8200,3300,550,1000,63,69,12,16,64
Millikin University,Yes,1444,1261,456,1788,95,11910,4378,450,965,60,77,11.4,25,75
Millsaps College,Yes,905,834,319,1073,179,11320,4402,550,1350,82,89,12.7,38,58
Milwaukee School of Engineering,Yes,1217,1088,496,1773,884,11505,3255,1000,2075,35,46,16.7,23,67
Mississippi College,Yes,594,385,307,1695,721,5580,2830,600,700,77,79,16.5,18,61
Mississippi State University,No,4255,3277,1609,10094,1621,9866,3084,480,1479,77,77,15.9,20,53
Mississippi University for Women,No,480,405,380,1673,1014,4386,2217,600,1500,49,54,15.8,8,63
Missouri Southern State College,No,1576,1326,913,3689,2200,3840,2852,200,400,52,54,20.3,9,100
Missouri Valley College,Yes,1310,983,316,1057,175,8550,5050,400,900,35,67,17.4,16,27
Monmouth College IL,Yes,601,503,204,671,11,13000,4100,400,460,91,91,11.6,43,56
Monmouth College,Yes,2707,1881,478,1893,847,12480,5290,530,1740,70,85,14.2,15,54
Montana College of Mineral Sci. & Tech.,No,572,544,320,1470,416,6073,3400,550,1400,71,71,16.4,31,74
Montana State University,No,3500,2836,1779,8730,993,5552,3710,550,2300,75,83,17.6,8,37
Montclair State University,No,5220,2128,865,6411,3186,3648,4834,700,950,82,87,21.5,9,58
Montreat-Anderson College,Yes,263,223,103,316,20,8438,3372,500,2958,42,50,11.1,4,15
Moorhead State University,No,2442,2164,1189,5983,1075,4426,2664,600,1000,76,81,18.1,19,60
Moravian College,Yes,1232,955,303,1241,485,14990,4730,550,1250,86,92,15.2,28,74
Morehouse College,Yes,3708,1678,722,2852,153,7050,5490,250,600,71,74,17.8,10,83
Morningside College,Yes,586,533,239,950,228,10520,3678,500,1000,48,68,13,32,56
Morris College,Yes,882,730,330,926,12,4515,2550,850,2100,53,60,18.6,34,60
Mount Holyoke College,Yes,1800,1314,526,1891,40,19300,5700,750,750,79,91,9,51,84
Mount Marty College,Yes,279,276,126,600,435,6844,2980,500,500,45,55,11.7,38,44
Mount Mary College,Yes,235,217,121,931,487,8950,3119,550,1125,51,51,10.7,26,78
Mount Mercy College,Yes,368,317,159,806,542,10500,3555,500,2285,44,50,11.3,30,64
Mount Saint Clare College,Yes,325,284,95,364,88,9900,3650,500,1200,32,37,13.6,43,21
Mount Saint Mary's College,Yes,1321,1159,328,1243,79,12850,6200,550,900,77,82,12.8,36,80
Mount Saint Mary College,Yes,1170,695,238,1170,429,7470,4600,250,1400,74,75,15.3,23,88
Mount St. Mary's College,Yes,657,537,113,1039,466,12474,5678,630,1278,53,71,11.9,19,72
Mount Union College,Yes,1310,1086,458,1365,144,12250,3530,400,1150,85,87,16.7,35,81
Mount Vernon Nazarene College,Yes,510,485,334,1114,94,7400,3346,600,600,57,57,19.8,7,58
Muhlenberg College,Yes,2519,1836,462,1656,352,16975,4565,600,850,76,86,12.8,39,83
Murray State University,No,2225,1910,1190,5968,955,4738,3110,700,940,72,76,20.2,27,52
Muskingum College,Yes,1109,922,375,1115,70,13240,3914,600,800,73,85,13.4,27,73
National-Louis University,Yes,513,347,279,2508,505,9090,4500,650,500,62,65,18.3,2,71
Nazareth College of Rochester,Yes,947,798,266,1274,471,10850,5150,550,800,77,93,13.6,24,61
New Jersey Institute of Technology,No,1879,1216,483,3311,1646,8832,5376,700,1850,92,98,13.5,19,72
New Mexico Institute of Mining and Tech.,No,787,601,233,1017,411,5376,3214,600,1100,99,100,13.7,11,34
New York University,Yes,13594,7244,2505,12408,2814,17748,7262,450,1000,87,98,7.8,16,71
Newberry College,Yes,872,722,154,601,36,10194,2600,500,1500,57,63,11.4,32,83
Niagara University,Yes,2220,1796,467,1919,334,10320,4762,450,650,68,100,14.2,20,65
North Adams State College,No,1563,1005,240,1380,136,5542,4330,500,1000,65,71,14.2,17,57
North Carolina A. & T. State University,No,4809,3089,1429,6162,871,6806,1780,600,1651,72,72,16.7,9,44
North Carolina State University at Raleigh,No,10634,7064,3176,16505,5481,8400,6540,600,1300,92,98,17.5,21,62
North Carolina Wesleyan College,Yes,812,689,195,646,84,8242,4230,600,1295,77,77,12.7,11,52
North Central College,Yes,1127,884,308,1310,766,11718,7398,450,1800,73,87,16.4,33,76
North Dakota State University,No,2968,2297,1610,7368,1128,5834,2744,600,2000,79,83,17,24,42
North Park College,Yes,465,361,176,879,156,12580,4345,400,970,76,79,13.1,24,74
Northeast Missouri State University,No,6040,4577,1620,5640,266,4856,3416,400,1100,69,72,15.7,13,76
Northeastern University,Yes,11901,8492,2517,11160,10221,13380,7425,600,1750,73,82,12.9,17,46
Northern Arizona University,No,5891,4931,1973,11249,2682,6746,3728,620,2342,78,83,21.7,7,41
Northern Illinois University,No,10706,7219,2397,14826,1979,7799,3296,470,1750,73,78,17.3,11,56
Northwest Missouri State University,No,2729,2535,1257,4787,472,3735,3136,250,1630,62,65,21.7,23,54
Northwest Nazarene College,Yes,616,514,385,1115,60,9840,2820,450,822,59,59,14.8,20,58
Northwestern College,Yes,860,811,366,1040,52,9900,3075,300,1800,68,68,14.9,34,68
Northwestern University,Yes,12289,5200,1902,7450,45,16404,5520,759,1585,96,100,6.8,25,92
Norwich University,Yes,1743,1625,626,1862,382,14134,5270,500,800,71,74,13.1,22,63
Notre Dame College,Yes,379,324,107,500,311,9990,4900,400,600,44,47,12.1,26,33
Oakland University,No,3041,2581,1173,6441,3982,9114,4030,400,650,88,90,19.7,13,53
Oberlin College,Yes,4778,2767,678,2587,120,19670,5820,575,1119,77,96,10.1,47,83
Occidental College,Yes,2324,1319,370,1686,35,16560,5140,558,1152,91,93,10.5,30,79
Oglethorpe University,Yes,792,649,186,769,377,12900,4340,600,4110,91,95,13.1,27,67
Ohio Northern University,Yes,2936,2342,669,2502,66,15990,4080,600,825,73,78,14.5,31,83
Ohio University,No,11023,8298,3183,14861,1310,7629,4095,550,2300,79,87,20.4,13,64
Ohio Wesleyan University,Yes,2190,1700,458,1780,48,16732,5650,550,550,93,93,12.1,32,75
Oklahoma Baptist University,Yes,758,681,484,1707,705,5390,3140,515,1290,63,71,15.1,18,50
Oklahoma Christian University,Yes,776,765,351,1419,228,6400,3150,500,1900,58,64,16.2,8,45
Oklahoma State University,No,4522,3913,2181,12830,1658,5336,3344,800,3100,84,92,15.3,14,48
Otterbein College,Yes,1496,1205,428,1648,936,12888,4440,420,840,62,68,13.9,30,87
Ouachita Baptist University,Yes,910,773,450,1310,61,6530,2800,500,1500,63,67,13.3,10,65
Our Lady of the Lake University,Yes,2308,1336,295,1202,942,8530,3644,616,1576,56,64,14.9,25,37
Pace University,Yes,8256,3750,1522,5809,4379,11000,5160,660,1115,90,95,13.8,10,62
Pacific Lutheran University,Yes,1603,1392,504,2580,302,13312,4488,600,1516,78,78,11,23,83
Pacific Union College,Yes,940,668,385,1316,139,11925,3825,630,1926,48,87,12.3,12,69
Pacific University,Yes,943,849,288,1041,35,14210,3994,450,1100,76,76,10.9,22,42
Pembroke State University,No,944,774,440,2174,529,6360,2760,550,1498,77,77,15,5,48
Pennsylvania State Univ. Main Campus,No,19315,10344,3450,28938,2025,10645,4060,512,2394,77,96,18.1,19,63
Pepperdine University,Yes,3821,2037,680,2488,625,18200,6770,500,700,95,98,11.6,13,66
Peru State College,No,701,501,458,959,457,2580,2624,500,900,48,100,20.1,24,44
Pfeiffer College,Yes,838,651,159,654,162,8640,3700,400,1915,62,62,12.2,13,48
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,1664,1042,11690,5062,600,1664,48,80,12.9,15,68
Phillips University,Yes,692,576,174,597,83,10500,3860,600,940,58,64,11.6,19,39
Piedmont College,Yes,663,562,127,641,63,5640,3620,600,750,89,89,13.2,17,31
Pikeville College,Yes,404,400,169,797,100,6000,3000,500,500,48,57,13.4,14,61
Pitzer College,Yes,1133,630,220,750,30,17688,5900,650,850,100,100,10.4,11,73
Point Loma Nazarene College,Yes,809,687,428,1889,217,10178,4190,800,750,71,71,16.1,19,54
Point Park College,Yes,875,744,207,1173,1402,9700,4830,400,1200,45,90,14.5,10,66
Polytechnic University,Yes,1132,847,302,1379,214,16200,4200,436,2486,90,90,10.4,14,62
Prairie View A. and M. University,No,2405,2234,1061,4564,448,4290,3500,598,1582,55,93,19.4,1,35
Presbyterian College,Yes,1082,832,302,1133,30,11859,3635,554,1429,80,85,13.4,42,85
Princeton University,Yes,13218,2042,1153,4540,146,19900,5910,675,1575,91,96,8.4,54,99
Providence College,Yes,5139,3346,973,3717,1358,14400,6200,450,1100,66,74,18.4,35,96
Purdue University at West Lafayette,No,21804,18744,5874,26213,4065,9556,3990,570,1060,86,86,18.2,15,67
Queens College,Yes,516,392,154,630,549,11020,4970,610,1900,73,75,14,36,58
Quincy University,Yes,1025,707,297,1070,72,10100,4140,450,1080,69,71,16.3,32,80
Quinnipiac College,Yes,3712,2153,806,2677,714,12030,6140,1000,500,63,73,12,33,86
Radford University,No,5702,4894,1742,8077,472,6684,4110,500,900,73,83,19.6,9,62
Ramapo College of New Jersey,No,2088,957,362,2745,1938,4449,4860,600,1655,74,95,17.8,8,47
Randolph-Macon College,Yes,1771,1325,306,1071,27,13840,3735,400,900,77,80,10.7,38,74
Randolph-Macon Woman's College,Yes,696,616,169,653,56,13970,6110,370,920,88,97,9.2,24,68
Reed College,Yes,1966,1436,327,1199,61,19960,5490,500,450,90,90,11.8,37,68
Regis College,Yes,427,385,143,581,533,12700,5800,450,700,81,85,10.3,37,84
Rensselaer Polytechnic Institute,Yes,4996,4165,936,4291,16,17475,5976,1230,1100,94,98,15.4,21,70
Rhodes College,Yes,2302,1831,391,1345,59,15200,4768,550,1500,90,96,10.8,47,77
Rider University,Yes,3586,2424,730,2748,1309,13250,5420,700,3100,84,92,12.3,23,70
Ripon College,Yes,587,501,211,735,28,15200,4100,350,650,87,90,9.4,49,64
Rivier College,Yes,484,386,141,590,1196,9870,4860,600,1100,59,59,12.2,19,81
Roanoke College,Yes,2227,1790,437,1460,239,13425,4425,450,1200,85,89,13,26,72
Rockhurst College,Yes,935,858,345,1127,754,9490,4100,500,1500,60,79,10.7,21,79
Rocky Mountain College,Yes,560,392,270,743,118,8734,3362,600,625,56,78,11.3,27,68
Roger Williams University,Yes,3304,2804,679,2111,1489,12520,6050,500,730,44,54,16.4,8,61
Rollins College,Yes,1777,1151,382,1668,1052,16425,5220,955,750,81,85,13.3,23,90
Rosary College,Yes,434,321,141,624,269,10950,4600,550,950,79,82,12.9,30,81
Rowan College of New Jersey,No,3820,1431,695,5303,3942,4356,4830,800,800,76,81,22.1,6,51
Rutgers at New Brunswick,No,48094,26330,4520,21401,3712,7410,4748,690,2009,90,95,19.5,19,77
Rutgers State University at Camden,No,3366,1752,232,2585,1300,7411,4748,690,2009,90,95,18.6,12,57
Rutgers State University at Newark,No,5785,2690,499,4005,1886,7410,4748,690,2009,90,95,17.4,16,58
Sacred Heart University,Yes,2307,1896,509,1707,1889,11070,5780,400,600,71,73,14.8,16,82
Saint Ambrose University,Yes,897,718,276,1345,390,10450,4020,500,1500,56,56,14.1,16,70
Saint Anselm College,Yes,2095,1553,514,1873,94,12950,5400,450,1120,70,82,14.5,29,97
Saint Cloud State University,No,3971,3306,1921,11493,2206,4259,2625,350,1884,70,75,18.9,10,58
Saint Francis College IN,Yes,213,166,85,513,247,8670,3820,450,1000,43,78,12.5,4,48
Saint Francis College,Yes,1046,824,284,1223,451,10880,5050,400,1235,64,64,19.3,24,69
Saint John's University,Yes,933,800,444,1691,72,12247,4081,500,600,76,85,12,38,70
Saint Joseph's College IN,Yes,920,684,225,815,222,11200,4250,600,950,55,60,14.8,19,67
Saint Joseph's College,Yes,833,682,217,716,2196,9985,5180,500,800,53,89,27.2,8,85
Saint Joseph's University,Yes,2519,2003,776,2473,1314,12750,6350,350,1690,84,90,17.4,13,83
Saint Joseph College,Yes,292,241,96,543,712,12200,4600,650,950,87,90,11.2,32,76
Saint Louis University,Yes,3294,2855,956,4576,1140,11690,4730,800,6800,84,94,4.6,19,67
Saint Mary's College,Yes,888,734,393,1433,27,12730,4514,500,1525,74,95,9.9,31,98
Saint Mary's College of Minnesota,Yes,876,802,367,1263,118,10800,3600,400,820,68,74,18.8,19,78
Saint Mary-of-the-Woods College,Yes,150,130,88,341,768,10300,4130,500,1700,44,58,10.2,37,75
Saint Michael's College,Yes,1910,1380,463,1715,106,13030,5860,500,750,79,88,14.5,34,84
Saint Olaf College,Yes,2248,1673,745,2888,105,14350,3750,550,550,82,88,10,31,83
Saint Peter's College,Yes,1606,1413,530,1921,1154,9408,5520,500,450,78,78,12.1,22,53
Saint Vincent College,Yes,700,595,278,1035,182,10850,3936,500,900,62,64,12.3,31,88
Saint Xavier University,Yes,785,647,295,1670,726,10860,4624,600,794,87,100,13.7,15,55
Salem-Teikyo University,Yes,489,384,120,700,45,10575,3952,400,620,46,24,13,9,98
Salem College,Yes,335,284,132,534,216,10475,6300,500,2000,68,68,11.2,46,60
Salisbury State University,No,4216,2290,736,4296,1027,5130,4690,600,1450,73,75,17.9,18,56
Samford University,Yes,1680,1395,691,2959,402,8236,3700,569,1650,74,75,14.7,17,61
San Diego State University,No,9402,7020,2151,16407,5550,8384,5110,612,2400,87,93,19.5,7,41
Santa Clara University,Yes,4019,2779,888,3891,128,13584,5928,630,1278,88,92,13.9,19,100
Sarah Lawrence College,Yes,1380,768,263,1000,105,19300,6694,600,700,89,93,6.1,18,83
Savannah Coll. of Art and Design,Yes,1109,688,386,1897,208,8325,5000,1200,1600,14,98,16.1,26,55
Schreiner College,Yes,584,413,131,521,99,8955,5900,500,1488,51,56,11.8,23,52
Scripps College,Yes,855,632,139,569,7,17238,7350,600,800,95,100,8.2,41,73
Seattle Pacific University,Yes,1183,1016,411,1922,704,12669,4875,600,1250,83,85,16.8,20,66
Seattle University,Yes,2115,1540,494,2993,347,12825,4375,500,1500,85,85,12.2,16,89
Seton Hall University,Yes,4576,3565,1000,4384,1530,12000,6484,650,1000,81,84,14.4,15,64
Seton Hill College,Yes,936,794,197,752,210,11240,4180,350,2000,71,71,11.2,37,71
Shippensburg University of Penn.,No,5818,3281,1116,5268,300,7844,3504,450,1700,80,83,18.8,13,72
Shorter College,Yes,540,445,165,1115,111,7210,3600,500,2000,62,65,13.2,18,58
Siena College,Yes,2961,1932,628,2669,616,10800,5100,575,1090,71,82,14.1,42,100
Siena Heights College,Yes,464,419,183,686,287,9240,3880,475,1090,29,49,7.2,17,47
Simmons College,Yes,1003,782,295,1144,160,16160,6950,500,1200,74,81,8.9,33,79
Simpson College,Yes,1016,872,300,1116,602,11250,4980,550,1400,66,73,15.8,36,70
Sioux Falls College,Yes,437,400,211,614,271,8990,3064,500,1700,73,73,14.8,7,48
Skidmore College,Yes,4293,2728,591,2322,263,18710,5970,500,700,87,92,12.7,29,81
Smith College,Yes,2925,1598,632,2479,95,18820,6390,500,1050,85,97,10.3,44,90
South Dakota State University,No,2807,2589,1701,7000,1103,3811,2190,500,1970,62,65,15,29,67
Southeast Missouri State University,No,2281,1870,1408,6553,1246,4680,3540,200,2150,75,76,17.1,8,45
Southeastern Oklahoma State Univ.,No,818,700,447,2962,651,3738,2619,450,1022,55,59,19.6,9,53
Southern California College,Yes,385,340,193,784,127,9520,4124,630,1818,63,65,18.6,11,43
Southern Illinois University at Edwardsville,No,2540,2195,994,6063,2550,5472,3598,221,2216,76,81,16.5,8,43
Southern Methodist University,Yes,4301,3455,1166,4892,387,12772,5078,576,1802,74,88,13.5,17,72
Southwest Baptist University,Yes,1093,1093,642,1770,967,7070,2500,400,1000,52,54,15.9,13,71
Southwest Missouri State University,No,6118,5254,3204,13131,3374,4740,2590,500,1360,70,75,19.9,11,56
Southwest State University,No,1047,938,511,2091,546,4285,2750,600,1800,58,75,16.5,31,51
Southwestern Adventist College,Yes,321,318,172,620,280,7536,3736,430,1651,44,77,13,12,36
Southwestern College,Yes,213,155,75,504,147,7200,3532,550,1500,56,56,11.8,12,52
Southwestern University,Yes,1244,912,352,1177,43,11850,4675,600,1050,83,89,11.3,35,67
Spalding University,Yes,283,201,97,589,263,8400,2800,600,900,50,56,10.6,40,89
Spelman College,Yes,3713,1237,443,1971,107,7000,5565,660,2400,73,80,12.5,18,65
Spring Arbor College,Yes,372,362,181,1501,353,8600,3550,385,665,48,48,15.4,9,49
St. Bonaventure University,Yes,1489,1313,375,1688,131,10456,4927,500,1050,91,91,17.7,32,78
St. John's College,Yes,323,278,122,393,4,16150,5450,275,800,63,72,7.2,26,64
St. John Fisher College,Yes,1368,1064,354,1687,677,10570,5600,400,800,86,81,14.5,29,66
St. Lawrence University,Yes,2753,1820,505,1801,45,18720,5730,650,825,90,94,11.5,38,85
St. Martin's College,Yes,191,165,63,494,574,11550,4270,300,500,43,77,14.5,8,40
St. Mary's College of California,Yes,2643,1611,465,2615,248,13332,6354,630,1584,88,89,16.1,17,78
St. Mary's College of Maryland,No,1340,695,285,1315,209,6800,4730,675,1250,84,89,11.6,23,63
St. Mary's University of San Antonio,Yes,1243,1020,414,2149,418,8678,3858,700,1736,82,83,16.2,7,72
St. Norbert College,Yes,1334,1243,568,1946,95,12140,4450,425,1100,74,78,15.1,36,88
St. Paul's College,Yes,651,581,243,617,34,5000,3650,600,600,45,45,14,8,45
St. Thomas Aquinas College,Yes,861,609,215,1117,815,8650,5700,500,1750,69,73,16.1,13,67
Stephens College,Yes,450,405,194,614,388,13900,5200,450,2150,46,63,10.9,17,59
Stetson University,Yes,1557,1227,489,1964,81,12315,4565,600,1365,85,90,12.5,24,73
Stevens Institute of Technology,Yes,1768,1249,380,1263,11,16900,5680,450,750,89,89,19,33,79
Stockton College of New Jersey,No,4019,1579,710,4365,765,3040,4351,711,1125,78,92,19.5,7,64
Stonehill College,Yes,3646,2300,585,2022,926,12170,6172,480,800,79,79,13,30,97
SUNY at Albany,No,13528,9198,1843,10168,1231,6550,4355,700,1560,93,96,17.4,16,74
SUNY at Binghamton,No,14463,6166,1757,8544,671,6550,4598,700,1000,83,100,18,15,80
SUNY at Buffalo,No,15039,9649,3087,13963,3124,6550,4731,708,957,90,97,13.6,15,56
SUNY at Stony Brook,No,12512,6969,1724,9744,1351,6550,4712,600,1200,91,96,10.5,7,57
SUNY College  at Brockport,No,7294,3564,904,5758,1363,6550,4460,500,705,79,83,19,14,49
SUNY College  at Oswego,No,8000,4556,1464,6943,869,6550,4810,500,1500,69,85,22,21,63
SUNY College at Buffalo,No,5318,3515,1025,7626,2091,6550,4040,550,1230,71,78,18.7,12,42
SUNY College at Cortland,No,7888,3519,1036,5011,346,6550,4680,630,1274,82,85,17.8,17,53
SUNY College at Fredonia,No,4877,2798,814,4123,298,6550,4420,620,1481,82,90,16.3,10,66
SUNY College at Geneseo,No,8598,4562,1143,5060,146,6550,4170,600,650,79,84,19.1,25,76
SUNY College at New Paltz,No,8399,3609,656,4658,1478,6550,4240,550,1500,85,93,15.3,8,53
SUNY College at Plattsburgh,No,5549,3583,853,5004,475,6550,4176,600,1380,80,90,17.9,16,65
SUNY College at Potsdam,No,3150,2289,650,3598,234,6840,4660,500,1000,71,75,15.1,17,59
SUNY College at Purchase,No,2119,1264,390,2478,1441,6550,4760,1125,1362,80,100,14.9,8,46
Susquehanna University,Yes,2096,1512,465,1442,166,16130,4710,400,800,83,86,13.9,37,90
Sweet Briar College,Yes,462,402,146,527,41,14500,6000,500,600,91,99,6.5,48,61
Syracuse University,Yes,10477,7260,2442,10142,117,15150,6870,635,960,73,84,11.3,13,67
Tabor College,Yes,257,183,109,396,38,7850,3410,400,1500,55,70,10,15,53
Talladega College,Yes,4414,1500,335,908,119,5666,2964,1000,1400,56,58,15.5,7,46
Taylor University,Yes,1769,1092,437,1757,81,10965,4000,450,1250,60,61,14.2,32,98
Tennessee Wesleyan College,Yes,232,182,99,402,237,7070,3640,400,3158,59,65,8.9,16,36
Texas A&M Univ. at College Station,No,14474,10519,6392,31643,2798,5130,3412,600,2144,89,91,23.1,29,69
Texas A&M University at Galveston,No,529,481,243,1206,134,4860,3122,600,650,103,88,17.4,16,43
Texas Christian University,Yes,4095,3079,1195,5064,660,8490,3320,650,2400,81,93,14.8,23,64
Texas Lutheran College,Yes,497,423,215,895,429,7850,3410,490,1700,54,58,13.8,24,50
Texas Southern University,No,4345,3245,2604,5584,3101,7860,3360,600,1700,65,75,18.2,21,10
Texas Wesleyan University,Yes,592,501,279,1204,392,6400,3484,600,1800,80,83,14.5,10,43
The Citadel,No,1500,1242,611,2024,292,7070,2439,400,779,95,94,17.1,17,84
Thiel College,Yes,1154,951,253,791,140,11172,4958,700,1350,68,76,11.6,16,60
Tiffin University,Yes,845,734,254,662,351,7600,3800,600,1200,59,74,19,40,39
Transylvania University,Yes,759,729,244,867,51,10900,4450,500,1000,81,91,12.1,41,70
Trenton State College,No,5042,2312,944,5167,902,5391,5411,700,1000,81,87,14.4,6,81
Tri-State University,Yes,1262,1102,276,978,98,9456,4350,468,1323,53,53,12.8,24,65
Trinity College CT,Yes,3058,1798,478,1737,244,18810,5690,500,680,91,96,10.4,48,91
Trinity College DC,Yes,247,189,100,309,639,11412,6430,500,900,89,93,8.3,37,96
